ComponentId,Amount,Unit,UsedByClass,UsedById,UsesClass,UsesId,CreateTS,ModifiedTS,ClassName,RecordId
029aa46d-12d6-4022-bb8e-0bee6d790000,1,ea,wt.part.WTPart,97697,wt.part.WTPartMaster,96956,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127815
f0e3287a-bda8-496f-8f41-e7b3b2c17955,1,ea,wt.part.WTPart,97705,wt.part.WTPartMaster,96848,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127816
e9dd4b33-d002-419b-90d3-0e461e532e5e,1,ea,wt.part.WTPart,97695,wt.part.WTPartMaster,96861,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127817
65a11c8d-8e1a-42c5-91b6-f66bf058d448,1,ea,wt.part.WTPart,97695,wt.part.WTPartMaster,97016,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127818
3f4607b7-82ab-4980-97f9-e065ad3a7481,2,ea,wt.part.WTPart,97747,wt.part.WTPartMaster,96951,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127819
e0836956-e9b9-4479-8b34-ed79a9871c25,18,ea,wt.part.WTPart,97813,wt.part.WTPartMaster,96869,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127820
81444fa4-0461-4c6a-aa20-33546ee9ceda,1,ea,wt.part.WTPart,97765,wt.part.WTPartMaster,97012,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127821
68dbc54f-e411-4e14-b000-f551c2c255cf,1,ea,wt.part.WTPart,97737,wt.part.WTPartMaster,96764,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127822
42cdbfa0-4e79-497e-82c2-d215183c64e9,1,ea,wt.part.WTPart,97741,wt.part.WTPartMaster,96984,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127823
fa5a525d-c152-4e83-9be3-f270fbe678e4,1,ea,wt.part.WTPart,97726,wt.part.WTPartMaster,96777,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127824
f0d5c495-12f0-4489-aa27-c995071a6da7,1,ea,wt.part.WTPart,97793,wt.part.WTPartMaster,96850,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127825
bba0f2e4-4578-43cc-b367-0adb86e8b309,8,ea,wt.part.WTPart,97865,wt.part.WTPartMaster,96985,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127826
